invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,revenue,year,month,day,day_of_week,hour
549976,21577,SAVE THE PLANET COTTON TOTE BAG,6,2011-04-13 14:39:00,2.25,15855,United Kingdom,13.5,2011,4,13,Wednesday,14
578323,22507,MEMO BOARD RETROSPOT  DESIGN,4,2011-11-23 17:19:00,4.95,15743,United Kingdom,19.8,2011,11,23,Wednesday,17
578678,23582,VINTAGE DOILY JUMBO BAG RED ,1,2011-11-24 19:59:00,2.08,17841,United Kingdom,2.08,2011,11,24,Thursday,19
552265,22747,POPPY'S PLAYHOUSE BATHROOM,2,2011-05-08 11:41:00,2.1,14161,United Kingdom,4.2,2011,5,8,Sunday,11
543024,21864,UNION JACK FLAG PASSPORT COVER ,36,2011-02-02 14:39:00,1.69,13777,United Kingdom,60.839999999999996,2011,2,2,Wednesday,14
540473,21207,SKULL AND CROSSBONES  GARLAND ,3,2011-01-07 14:31:00,1.65,17284,United Kingdom,4.949999999999999,2011,1,7,Friday,14
547382,21181,PLEASE ONE PERSON METAL SIGN,2,2011-03-22 15:31:00,2.1,15457,United Kingdom,4.2,2011,3,22,Tuesday,15
556782,21470,FLOWER VINE RAFFIA FOOD COVER,3,2011-06-14 13:04:00,3.75,14871,United Kingdom,11.25,2011,6,14,Tuesday,13
549993,22963,JAM JAR WITH GREEN LID,24,2011-04-14 08:26:00,0.85,14057,United Kingdom,20.4,2011,4,14,Thursday,8
537781,21983,PACK OF 12 BLUE PAISLEY TISSUES ,1,2010-12-08 12:46:00,0.29,17341,United Kingdom,0.29,2010,12,8,Wednesday,12
542795,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,6,2011-02-01 10:59:00,4.95,18055,United Kingdom,29.700000000000003,2011,2,1,Tuesday,10
579868,23354,6 GIFT TAGS 50'S CHRISTMAS ,24,2011-11-30 16:43:00,0.83,15544,United Kingdom,19.919999999999998,2011,11,30,Wednesday,16
561615,22840,ROUND CAKE TIN VINTAGE RED,4,2011-07-28 12:57:00,7.95,13319,United Kingdom,31.8,2011,7,28,Thursday,12
547375,22150,3 STRIPEY MICE FELTCRAFT,6,2011-03-22 14:24:00,1.95,13196,United Kingdom,11.7,2011,3,22,Tuesday,14
536500,22113,GREY HEART HOT WATER BOTTLE,3,2010-12-01 12:35:00,3.75,17377,United Kingdom,11.25,2010,12,1,Wednesday,12
565434,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,2011-09-04 13:35:00,2.08,12867,United Kingdom,4.16,2011,9,4,Sunday,13
566851,22635,CHILDS BREAKFAST SET DOLLY GIRL ,2,2011-09-15 12:16:00,9.95,15573,United Kingdom,19.9,2011,9,15,Thursday,12
578078,23176,ABC TREASURE BOOK BOX ,8,2011-11-22 16:24:00,2.25,12586,Italy,18.0,2011,11,22,Tuesday,16
553402,21379,CAMPHOR WOOD PORTOBELLO MUSHROOM,2,2011-05-16 17:13:00,1.25,17898,United Kingdom,2.5,2011,5,16,Monday,17
574706,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,2011-11-06 14:06:00,1.25,16790,United Kingdom,15.0,2011,11,6,Sunday,14
574839,20802,SMALL GLASS SUNDAE DISH CLEAR,6,2011-11-07 11:40:00,1.65,15493,United Kingdom,9.899999999999999,2011,11,7,Monday,11
540357,21209,MULTICOLOUR HONEYCOMB FAN,48,2011-01-06 15:14:00,0.65,13093,United Kingdom,31.200000000000003,2011,1,6,Thursday,15
563928,85071C,"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",2,2011-08-21 15:17:00,0.39,17059,United Kingdom,0.78,2011,8,21,Sunday,15
573152,21212,PACK OF 72 RETROSPOT CAKE CASES,4,2011-10-27 20:16:00,0.55,17530,United Kingdom,2.2,2011,10,27,Thursday,20
566571,23298,SPOTTY BUNTING,6,2011-09-13 12:49:00,4.95,17037,United Kingdom,29.700000000000003,2011,9,13,Tuesday,12
566891,85049A,TRADITIONAL CHRISTMAS RIBBONS,12,2011-09-15 13:51:00,1.25,14894,United Kingdom,15.0,2011,9,15,Thursday,13
539653,84692,BOX OF 24 COCKTAIL PARASOLS,10,2010-12-20 16:50:00,0.42,13564,United Kingdom,4.2,2010,12,20,Monday,16
576593,22587,FELTCRAFT HAIRBAND RED AND BLUE,1,2011-11-15 14:48:00,0.85,15720,United Kingdom,0.85,2011,11,15,Tuesday,14
555383,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,3,2011-06-02 15:13:00,2.95,12517,Germany,8.850000000000001,2011,6,2,Thursday,15
574740,22191,IVORY DINER WALL CLOCK,6,2011-11-06 16:07:00,8.5,12357,Switzerland,51.0,2011,11,6,Sunday,16
570225,35933,PINK STOCKING CHRISTMAS DECORATION,2,2011-10-09 13:15:00,0.38,16595,United Kingdom,0.76,2011,10,9,Sunday,13
545340,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,4,2011-03-02 08:41:00,4.15,15416,United Kingdom,16.6,2011,3,2,Wednesday,8
542646,21466,RED FLOWER CROCHET FOOD COVER,1,2011-01-31 11:42:00,3.75,17220,United Kingdom,3.75,2011,1,31,Monday,11
537350,20975,12 PENCILS SMALL TUBE RED RETROSPOT,24,2010-12-06 12:23:00,0.65,14708,United Kingdom,15.600000000000001,2010,12,6,Monday,12
573564,22074,6 RIBBONS SHIMMERING PINKS ,12,2011-10-31 13:58:00,1.65,16127,United Kingdom,19.799999999999997,2011,10,31,Monday,13
551560,23073,GEORGIAN TRINKET BOX,12,2011-05-03 10:43:00,11.15,16133,United Kingdom,133.8,2011,5,3,Tuesday,10
575965,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12,2011-11-13 12:32:00,0.85,13426,United Kingdom,10.2,2011,11,13,Sunday,12
558370,22996,TRAVEL CARD WALLET VINTAGE TICKET,24,2011-06-28 15:44:00,0.42,17750,United Kingdom,10.08,2011,6,28,Tuesday,15
549291,22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,1,2011-04-07 19:05:00,2.95,16261,United Kingdom,2.95,2011,4,7,Thursday,19
581191,90200E,GREEN SWEETHEART BRACELET,3,2011-12-07 16:56:00,4.25,17449,United Kingdom,12.75,2011,12,7,Wednesday,16
538879,22759,SET OF 3 NOTEBOOKS IN PARCEL,24,2010-12-14 15:50:00,1.65,15392,United Kingdom,39.599999999999994,2010,12,14,Tuesday,15
547520,20750,RED RETROSPOT MINI CASES,2,2011-03-23 14:55:00,7.95,12564,France,15.9,2011,3,23,Wednesday,14
536945,85227,SET OF 6 3D KIT CARDS FOR KIDS,2,2010-12-03 12:24:00,0.85,14083,United Kingdom,1.7,2010,12,3,Friday,12
548718,21169,YOU'RE CONFUSING ME METAL SIGN ,144,2011-04-04 08:50:00,1.45,14156,EIRE,208.79999999999998,2011,4,4,Monday,8
536559,51014L,"FEATHER PEN,LIGHT PINK",12,2010-12-01 14:54:00,0.85,17873,United Kingdom,10.2,2010,12,1,Wednesday,14
541265,35922,EASTER BUNNY WREATH,1,2011-01-16 16:23:00,4.95,17609,United Kingdom,4.95,2011,1,16,Sunday,16
537690,22708,WRAP DOLLY GIRL,25,2010-12-08 10:38:00,0.42,13983,United Kingdom,10.5,2010,12,8,Wednesday,10
553673,22925,BLUE GIANT GARDEN THERMOMETER,2,2011-05-18 12:46:00,5.95,16814,United Kingdom,11.9,2011,5,18,Wednesday,12
571039,21704,BAG 250g SWIRLY MARBLES,3,2011-10-13 12:59:00,0.85,16121,United Kingdom,2.55,2011,10,13,Thursday,12
568538,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,60,2011-09-27 14:07:00,2.95,15061,United Kingdom,177.0,2011,9,27,Tuesday,14
540471,21670,BLUE SPOT CERAMIC DRAWER KNOB,12,2011-01-07 14:21:00,1.25,15601,United Kingdom,15.0,2011,1,7,Friday,14
541038,22282,12 EGG HOUSE PAINTED WOOD,1,2011-01-13 12:10:00,12.75,16395,United Kingdom,12.75,2011,1,13,Thursday,12
542345,22079,RIBBON REEL HEARTS DESIGN ,1,2011-01-27 11:55:00,1.65,15910,United Kingdom,1.65,2011,1,27,Thursday,11
540098,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1,2011-01-04 15:50:00,0.55,16241,United Kingdom,0.55,2011,1,4,Tuesday,15
567375,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-09-20 09:45:00,1.45,14766,United Kingdom,17.4,2011,9,20,Tuesday,9
577404,84029E,RED WOOLLY HOTTIE WHITE HEART.,4,2011-11-20 10:16:00,4.25,17243,United Kingdom,17.0,2011,11,20,Sunday,10
560688,23309,SET OF 60 I LOVE LONDON CAKE CASES ,11,2011-07-20 11:54:00,0.55,16393,United Kingdom,6.050000000000001,2011,7,20,Wednesday,11
573150,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,3,2011-10-27 20:07:00,1.45,15014,United Kingdom,4.35,2011,10,27,Thursday,20
569524,22796,PHOTO FRAME 3 CLASSIC HANGING,1,2011-10-04 14:42:00,9.95,14506,United Kingdom,9.95,2011,10,4,Tuesday,14
578815,23407,SET OF 2 TRAYS HOME SWEET HOME,2,2011-11-25 13:42:00,9.95,13860,United Kingdom,19.9,2011,11,25,Friday,13
560398,21915,RED  HARMONICA IN BOX ,24,2011-07-18 14:10:00,1.25,12731,France,30.0,2011,7,18,Monday,14
540268,22704,WRAP RED APPLES ,25,2011-01-06 11:25:00,0.42,13458,United Kingdom,10.5,2011,1,6,Thursday,11
537204,21817,GLITTER CHRISTMAS TREE,6,2010-12-05 14:45:00,0.85,15555,United Kingdom,5.1,2010,12,5,Sunday,14
565648,22812,PACK 3 BOXES CHRISTMAS PANNETONE,3,2011-09-05 16:22:00,1.95,18196,United Kingdom,5.85,2011,9,5,Monday,16
577010,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,5,2011-11-17 12:11:00,2.89,15506,United Kingdom,14.450000000000001,2011,11,17,Thursday,12
569521,22950,36 DOILIES VINTAGE CHRISTMAS,1,2011-10-04 14:33:00,1.45,16474,United Kingdom,1.45,2011,10,4,Tuesday,14
563540,22551,PLASTERS IN TIN SPACEBOY,12,2011-08-17 12:04:00,1.65,12473,Germany,19.799999999999997,2011,8,17,Wednesday,12
541838,22776,SWEETHEART CAKESTAND 3 TIER,3,2011-01-23 10:43:00,9.95,12916,United Kingdom,29.849999999999998,2011,1,23,Sunday,10
537886,22960,JAM MAKING SET WITH JARS,12,2010-12-09 09:49:00,3.75,15660,United Kingdom,45.0,2010,12,9,Thursday,9
563565,21918,SET 12 KIDS COLOUR  CHALK STICKS,4,2011-08-17 14:22:00,0.42,17338,United Kingdom,1.68,2011,8,17,Wednesday,14
563349,23203,JUMBO BAG VINTAGE DOILY ,5,2011-08-15 13:51:00,2.08,14623,United Kingdom,10.4,2011,8,15,Monday,13
575747,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,2011-11-11 10:19:00,2.95,12589,France,17.700000000000003,2011,11,11,Friday,10
537224,22829,SWEETHEART WIRE WALL TIDY,2,2010-12-05 16:24:00,9.95,13174,United Kingdom,19.9,2010,12,5,Sunday,16
569012,20974,12 PENCILS SMALL TUBE SKULL,24,2011-09-30 08:18:00,0.65,15187,United Kingdom,15.600000000000001,2011,9,30,Friday,8
580679,22917,HERB MARKER ROSEMARY,12,2011-12-05 14:49:00,0.65,18198,United Kingdom,7.800000000000001,2011,12,5,Monday,14
566737,84665,SQUARE CHERRY BLOSSOM CABINET,4,2011-09-14 14:26:00,5.95,13430,United Kingdom,23.8,2011,9,14,Wednesday,14
566563,22759,SET OF 3 NOTEBOOKS IN PARCEL,12,2011-09-13 12:22:00,1.65,12909,United Kingdom,19.799999999999997,2011,9,13,Tuesday,12
544943,22120,WELCOME  WOODEN BLOCK LETTERS,6,2011-02-25 10:39:00,9.95,15845,United Kingdom,59.699999999999996,2011,2,25,Friday,10
573384,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2,2011-10-30 14:19:00,8.95,15478,United Kingdom,17.9,2011,10,30,Sunday,14
572933,22573,STAR WOODEN CHRISTMAS DECORATION,12,2011-10-27 10:15:00,0.85,13458,United Kingdom,10.2,2011,10,27,Thursday,10
538638,21985,PACK OF 12 HEARTS DESIGN TISSUES ,2,2010-12-13 14:16:00,0.29,17231,United Kingdom,0.58,2010,12,13,Monday,14
565732,23203,JUMBO BAG VINTAGE DOILY ,10,2011-09-06 12:10:00,2.08,17068,United Kingdom,20.8,2011,9,6,Tuesday,12
565326,21636,MADRAS NOTEBOOK MEDIUM,2,2011-09-02 13:41:00,0.75,16706,United Kingdom,1.5,2011,9,2,Friday,13
544659,22842,BISCUIT TIN VINTAGE RED,1,2011-02-22 13:20:00,6.75,18114,United Kingdom,6.75,2011,2,22,Tuesday,13
548003,22362,GLASS JAR PEACOCK BATH SALTS,6,2011-03-29 10:39:00,2.95,18044,United Kingdom,17.700000000000003,2011,3,29,Tuesday,10
545234,22768,FAMILY PHOTO FRAME CORNICE,2,2011-03-01 10:26:00,9.95,18075,United Kingdom,19.9,2011,3,1,Tuesday,10
580531,21232,STRAWBERRY CERAMIC TRINKET POT,24,2011-12-04 15:47:00,1.25,12569,Germany,30.0,2011,12,4,Sunday,15
562968,22466,FAIRY TALE COTTAGE NIGHTLIGHT,12,2011-08-11 10:55:00,1.95,14291,United Kingdom,23.4,2011,8,11,Thursday,10
559125,23255,CHILDRENS CUTLERY CIRCUS PARADE,4,2011-07-06 12:32:00,4.15,13985,United Kingdom,16.6,2011,7,6,Wednesday,12
580727,21872,GLAMOROUS  MUG,1,2011-12-05 17:17:00,3.29,14096,United Kingdom,3.29,2011,12,5,Monday,17
554283,22377,BOTTLE BAG RETROSPOT ,5,2011-05-23 14:11:00,2.1,17686,United Kingdom,10.5,2011,5,23,Monday,14
548874,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,2011-04-04 15:18:00,1.25,17716,United Kingdom,15.0,2011,4,4,Monday,15
570601,22963,JAM JAR WITH GREEN LID,24,2011-10-11 12:08:00,0.85,17620,United Kingdom,20.4,2011,10,11,Tuesday,12
559536,22375,AIRLINE BAG VINTAGE JET SET BROWN,1,2011-07-10 12:17:00,4.25,16283,United Kingdom,4.25,2011,7,10,Sunday,12
563565,23168,CLASSIC CAFE SUGAR DISPENSER,3,2011-08-17 14:22:00,1.25,17338,United Kingdom,3.75,2011,8,17,Wednesday,14
541277,20974,12 PENCILS SMALL TUBE SKULL,10,2011-01-17 11:46:00,0.65,12673,Germany,6.5,2011,1,17,Monday,11
557805,21930,JUMBO STORAGE BAG SKULLS,10,2011-06-23 10:27:00,2.08,17651,United Kingdom,20.8,2011,6,23,Thursday,10
575607,23300,GARDENERS KNEELING PAD CUP OF TEA ,5,2011-11-10 12:37:00,3.29,14096,United Kingdom,16.45,2011,11,10,Thursday,12
565317,23240,SET OF 4 KNICK KNACK TINS DOILY ,12,2011-09-02 13:00:00,4.15,12921,United Kingdom,49.800000000000004,2011,9,2,Friday,13
552779,21155,RED RETROSPOT PEG BAG,6,2011-05-11 12:13:00,2.55,13013,United Kingdom,15.299999999999999,2011,5,11,Wednesday,12
580385,22632,HAND WARMER RED RETROSPOT,3,2011-12-04 10:11:00,2.1,16326,United Kingdom,6.300000000000001,2011,12,4,Sunday,10
543836,22986,GINGHAM ROSE WRAP,25,2011-02-14 10:52:00,0.42,15236,United Kingdom,10.5,2011,2,14,Monday,10
562046,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,3,2011-08-02 10:34:00,4.95,12378,Switzerland,14.850000000000001,2011,8,2,Tuesday,10
564059,21908,CHOCOLATE THIS WAY METAL SIGN,12,2011-08-22 14:35:00,2.1,15796,United Kingdom,25.200000000000003,2011,8,22,Monday,14
568188,22502,PICNIC BASKET WICKER SMALL,1,2011-09-25 14:33:00,2.0,16049,United Kingdom,2.0,2011,9,25,Sunday,14
571435,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,6,2011-10-17 13:23:00,2.89,14211,United Kingdom,17.34,2011,10,17,Monday,13
558707,23120,PACK OF 6 SMALL FRUIT STRAWS,2,2011-07-01 12:58:00,0.42,12748,United Kingdom,0.84,2011,7,1,Friday,12
541855,85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,2,2011-01-23 14:59:00,1.65,13742,United Kingdom,3.3,2011,1,23,Sunday,14
563178,23031,DRAWER KNOB CRACKLE GLAZE PINK,6,2011-08-12 14:12:00,1.65,16011,United Kingdom,9.899999999999999,2011,8,12,Friday,14
569110,21669,BLUE STRIPE CERAMIC DRAWER KNOB,12,2011-09-30 12:44:00,1.45,17675,United Kingdom,17.4,2011,9,30,Friday,12
577695,21802,CHRISTMAS TREE HEART DECORATION,1,2011-11-21 11:55:00,0.42,15645,United Kingdom,0.42,2011,11,21,Monday,11
552460,22385,JUMBO BAG SPACEBOY DESIGN,10,2011-05-09 14:44:00,2.08,13178,United Kingdom,20.8,2011,5,9,Monday,14
546248,20725,LUNCH BAG RED RETROSPOT,10,2011-03-10 13:46:00,1.65,16477,United Kingdom,16.5,2011,3,10,Thursday,13
555719,POST,POSTAGE,5,2011-06-06 15:31:00,18.0,12609,Germany,90.0,2011,6,6,Monday,15
536851,22333,RETROSPOT PARTY BAG + STICKER SET,32,2010-12-03 09:49:00,1.65,12967,United Kingdom,52.8,2010,12,3,Friday,9
538311,22383,LUNCH BAG SUKI  DESIGN ,10,2010-12-10 13:48:00,1.65,12785,Portugal,16.5,2010,12,10,Friday,13
540248,22495,SET OF 2 ROUND TINS CAMEMBERT ,2,2011-01-05 15:57:00,2.95,15034,United Kingdom,5.9,2011,1,5,Wednesday,15
553044,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,2011-05-13 09:24:00,1.65,12682,France,19.799999999999997,2011,5,13,Friday,9
580436,23480,MINI LIGHTS WOODLAND MUSHROOMS,20,2011-12-04 12:17:00,3.75,13318,United Kingdom,75.0,2011,12,4,Sunday,12
555947,23004,TRAVEL CARD WALLET PANTRY,24,2011-06-08 10:45:00,0.42,14911,EIRE,10.08,2011,6,8,Wednesday,10
536861,21328,BALLOONS  WRITING SET ,12,2010-12-03 10:44:00,1.65,12427,Germany,19.799999999999997,2010,12,3,Friday,10
571315,23093,SMALL PARISIENNE HEART PHOTO FRAME ,8,2011-10-17 10:47:00,2.49,16542,United Kingdom,19.92,2011,10,17,Monday,10
537034,22431,WATERING CAN BLUE ELEPHANT,24,2010-12-03 17:20:00,1.95,13081,United Kingdom,46.8,2010,12,3,Friday,17
547872,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,1,2011-03-27 14:34:00,2.55,16777,United Kingdom,2.55,2011,3,27,Sunday,14
568241,75049L,LARGE CIRCULAR MIRROR MOBILE,96,2011-09-26 12:10:00,0.85,15218,United Kingdom,81.6,2011,9,26,Monday,12
538638,84849B,FAIRY SOAP SOAP HOLDER,1,2010-12-13 14:16:00,1.69,17231,United Kingdom,1.69,2010,12,13,Monday,14
542090,20972,PINK CREAM FELT CRAFT TRINKET BOX ,6,2011-01-25 12:39:00,1.25,15518,United Kingdom,7.5,2011,1,25,Tuesday,12
541115,22519,CHILDS GARDEN BRUSH PINK,6,2011-01-13 15:34:00,2.1,12578,Italy,12.600000000000001,2011,1,13,Thursday,15
571883,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,20,2011-10-19 13:58:00,0.29,14704,United Kingdom,5.8,2011,10,19,Wednesday,13
575077,23439,HAND WARMER RED LOVE HEART,12,2011-11-08 13:22:00,2.1,15406,United Kingdom,25.200000000000003,2011,11,8,Tuesday,13
558910,22301,COFFEE MUG CAT + BIRD DESIGN,72,2011-07-05 09:16:00,2.1,12989,United Kingdom,151.20000000000002,2011,7,5,Tuesday,9
546846,22966,GINGERBREAD MAN COOKIE CUTTER,1,2011-03-17 12:47:00,1.25,13533,United Kingdom,1.25,2011,3,17,Thursday,12
570115,21231,SWEETHEART CERAMIC TRINKET BOX,72,2011-10-07 12:37:00,1.06,13798,United Kingdom,76.32000000000001,2011,10,7,Friday,12
573993,23198,PANTRY MAGNETIC  SHOPPING LIST,12,2011-11-02 11:23:00,1.45,16790,United Kingdom,17.4,2011,11,2,Wednesday,11
564053,23203,JUMBO BAG VINTAGE DOILY ,20,2011-08-22 13:42:00,2.08,14188,United Kingdom,41.6,2011,8,22,Monday,13
551533,20675,BLUE POLKADOT BOWL,2,2011-05-01 14:58:00,1.25,15407,United Kingdom,2.5,2011,5,1,Sunday,14
579167,22894,TABLECLOTH RED APPLES DESIGN ,2,2011-11-28 14:06:00,9.95,16800,United Kingdom,19.9,2011,11,28,Monday,14
541797,21715,GIRLS VINTAGE TIN SEASIDE BUCKET,1,2011-01-21 14:04:00,2.55,12970,United Kingdom,2.55,2011,1,21,Friday,14
563213,23295,SET OF 12 MINI LOAF BAKING CASES,6,2011-08-14 12:55:00,0.83,16115,United Kingdom,4.9799999999999995,2011,8,14,Sunday,12
568204,23370,SET 36 COLOURING PENCILS DOILY,16,2011-09-25 15:25:00,1.25,13670,United Kingdom,20.0,2011,9,25,Sunday,15
568082,21485,RETROSPOT HEART HOT WATER BOTTLE,24,2011-09-23 14:38:00,4.25,14944,United Kingdom,102.0,2011,9,23,Friday,14
569213,22588,CARD HOLDER GINGHAM HEART,2,2011-10-02 12:11:00,2.89,13782,United Kingdom,5.78,2011,10,2,Sunday,12
576599,22489,PACK OF 12 TRADITIONAL CRAYONS,6,2011-11-15 15:06:00,0.42,14544,United Kingdom,2.52,2011,11,15,Tuesday,15
547488,21745,GAOLERS KEYS DECORATIVE GARDEN ,1,2011-03-23 11:30:00,3.75,13821,United Kingdom,3.75,2011,3,23,Wednesday,11
552108,21931,JUMBO STORAGE BAG SUKI,1,2011-05-06 11:36:00,2.08,17841,United Kingdom,2.08,2011,5,6,Friday,11
548741,22983,CARD BILLBOARD FONT,12,2011-04-04 12:00:00,0.42,16224,United Kingdom,5.04,2011,4,4,Monday,12
547860,85203,HANGING WOOD AND FELT BUTTERFLY ,5,2011-03-27 12:21:00,0.42,17625,United Kingdom,2.1,2011,3,27,Sunday,12
565800,21524,DOORMAT SPOTTY HOME SWEET HOME,2,2011-09-07 10:23:00,8.25,14911,EIRE,16.5,2011,9,7,Wednesday,10
543529,82486,WOOD S/3 CABINET ANT WHITE FINISH,1,2011-02-09 12:16:00,8.95,18109,United Kingdom,8.95,2011,2,9,Wednesday,12
567661,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,1,2011-09-21 15:06:00,0.39,13959,United Kingdom,0.39,2011,9,21,Wednesday,15
